,time_taken,delivery_person_age,delivery_person_ratings,beeline_distance,type_of_order_Buffet,type_of_order_Meal,type_of_order_Snack,type_of_vehicle_bicycle,type_of_vehicle_electric_scooter,type_of_vehicle_scooter
32,25,38,4.9,6.175636261016932,0,0,0,0,0,1
33,35,32,3.5,17.29786575291325,0,0,1,0,0,1
34,30,32,4.6,19.914686965545187,0,0,0,0,0,1
35,22,33,4.9,10.724517748046024,0,0,1,0,0,0
36,10,20,4.7,6.127835452844327,0,0,1,0,0,1
37,19,20,4.8,1.5203573134022046,0,1,0,0,0,1
38,11,35,5.0,3.0734537599377685,0,0,1,0,0,1
39,11,26,4.9,3.105131477545897,1,0,0,0,0,1
40,28,22,4.8,10.867426834480481,0,0,1,0,0,0
41,33,35,4.3,10.865464603780389,0,0,1,0,0,0
42,33,29,4.6,12.236723616598548,0,0,0,0,0,1
43,52,37,4.7,13.682516298592297,0,0,1,0,0,0
44,22,28,4.6,16.826241648658115,0,0,1,0,0,1
45,16,37,4.9,3.0272369309754272,0,0,1,0,0,1
46,11,23,4.9,9.175193844437826,0,0,0,0,1,0
47,25,27,4.9,9.315069177421892,0,0,0,0,0,1
48,26,37,4.8,6.209021101535612,0,0,0,0,0,0
49,18,33,5.0,1.5203447277401048,0,0,1,0,0,1
50,16,31,4.9,6.037225392443855,0,0,1,0,0,0
51,23,31,4.8,17.078665498349437,0,0,0,0,0,1
52,15,25,5.0,4.717601092054723,0,0,1,0,0,0
53,36,28,4.8,12.464329297636581,0,0,0,0,0,0
54,16,31,4.7,9.121425981981247,0,0,1,0,0,0
55,19,24,4.7,14.023232083084483,1,0,0,0,0,0
56,27,39,4.6,13.392612276663236,0,0,1,0,0,0
57,49,39,4.2,12.58026782240096,0,0,1,0,0,1
58,20,32,4.5,1.4899271643865588,1,0,0,0,0,1
59,30,36,4.7,9.435201537430713,0,0,1,0,0,0
60,18,25,4.8,11.916582838288104,0,0,0,0,0,1
61,22,33,4.9,4.663566689152146,0,0,0,0,0,1
62,34,30,4.4,10.641157729337541,0,0,0,0,0,1
63,24,33,5.0,16.818368923732613,1,0,0,0,0,0
64,17,36,4.9,6.128551257919138,0,0,0,0,0,1
65,14,21,4.8,2.996250036665907,0,1,0,0,1,0
66,30,39,4.9,7.342175722857793,0,1,0,0,0,0
67,15,23,4.8,3.145067434621583,0,1,0,0,0,1
68,16,35,4.8,6.290134677634678,1,0,0,0,0,1
69,36,39,4.6,13.972123977178622,0,0,1,0,0,1
70,18,22,4.7,6.081440797008078,1,0,0,0,0,1
71,17,32,4.6,6.080891507842322,0,1,0,0,0,1
72,15,24,4.8,12.58026782240096,1,0,0,0,0,0
73,17,29,4.7,3.145067434621583,1,0,0,0,0,0
74,19,29,4.6,6.2105896103141776,0,0,0,0,0,1
75,10,26,4.7,9.220373067021216,1,0,0,0,0,0
76,27,20,4.5,7.8626681674103684,0,0,0,0,0,0
77,37,35,4.1,13.96960642768458,1,0,0,0,0,0
78,44,39,4.6,13.973206773137713,0,0,0,0,0,1
79,28,34,4.7,6.058853851669116,0,0,0,0,1,0
80,42,27,4.7,17.07799287216204,0,0,1,0,0,1
81,25,30,4.8,17.29786575291325,0,0,1,0,0,0
82,39,25,4.4,17.072871906399556,0,0,1,0,0,1
83,20,25,4.7,16.818368923732613,0,1,0,0,0,0
84,31,30,5.0,2.979502850576494,1,0,0,0,0,0
85,13,24,4.6,9.220865975037842,1,0,0,0,0,0
86,28,39,4.8,7.661331134220826,0,1,0,0,0,0
87,19,25,4.8,6.1755160934059985,0,0,1,0,0,1
88,42,37,4.6,12.209856560906529,1,0,0,0,0,0
89,23,24,5.0,1.5526813140972442,0,0,0,0,0,0
90,39,25,4.2,16.902806732498032,0,1,0,0,0,0
91,25,32,4.6,1.5093577696337532,0,0,0,0,0,0
92,15,34,4.7,10.416963824321584,0,0,0,0,0,1
93,15,38,4.9,3.0251186390184004,0,0,0,0,0,1
94,15,36,4.8,13.407092693002484,1,0,0,0,1,0
95,15,25,5.0,16.721976048741215,0,1,0,0,0,0
96,18,29,5.0,7.772343594464243,0,0,0,0,0,0
97,29,36,4.7,13.773737657079298,0,0,0,0,1,0
98,20,33,4.7,7.790158927084966,0,0,1,0,0,0
99,39,36,4.4,6.217834398578936,0,1,0,0,0,1
100,19,21,4.8,16.852834881460105,0,0,1,0,0,0
101,19,25,4.8,4.610035602260694,0,0,1,0,0,1
102,17,23,4.8,19.879870677373702,0,1,0,0,0,0
103,15,25,4.6,1.5580833985948437,0,0,1,0,0,0
104,19,24,4.3,3.025332706173566,0,1,0,0,0,0
105,29,27,4.6,13.97194896017493,1,0,0,0,0,0
106,22,23,4.8,16.83090555193196,0,0,1,0,0,1
107,42,21,4.3,20.207797933358158,0,0,0,0,0,1
108,12,27,4.7,3.040641621538495,0,0,1,0,0,1
109,38,32,4.2,20.253785359470783,0,0,1,0,0,0
110,23,25,4.6,16.72129600980331,0,0,0,0,0,0
111,15,39,4.7,2.9845507897866907,0,1,0,0,0,1
112,24,27,4.6,12.161450531436758,0,0,1,0,0,0
113,37,39,3.8,16.822155609317257,0,0,0,0,0,0
114,24,31,4.8,7.762556904358442,0,0,1,0,0,1
115,13,31,4.8,9.055855161965923,1,0,0,0,1,0
116,16,20,4.8,1.5545816630911855,0,0,0,0,0,0
117,42,36,4.9,12.074047498027575,0,0,0,0,0,0
118,17,20,4.9,13.580373876280879,0,1,0,0,0,0
119,25,24,4.6,4.469620875558295,0,0,0,0,0,0
120,25,29,4.6,16.659838319169715,0,0,1,0,1,0
121,39,39,4.2,16.63487011821184,0,0,1,0,0,1
122,18,37,4.8,6.232139486668102,0,1,0,0,0,1
123,28,32,4.9,6.209021101535612,0,0,0,0,0,0
124,18,22,4.5,7.460830127736633,0,0,0,0,0,1
125,18,23,4.9,20.253785359470783,0,1,0,0,0,1
126,49,33,4.7,16.600975700594585,0,0,1,0,0,1
127,15,23,4.6,4.540321372891478,0,0,0,0,0,0
128,21,27,4.6,12.421212735966002,0,0,0,0,0,0
129,23,34,4.7,6.1187118466897275,0,0,1,0,0,1
130,11,26,5.0,1.520431947999248,0,1,0,0,0,1
131,25,31,4.6,9.087972744661085,0,0,1,0,0,0
132,18,32,4.9,3.0644871057616703,0,0,1,0,0,0
133,14,27,4.7,3.025144329113595,1,0,0,0,0,0
134,36,21,4.9,13.973206773137713,0,0,0,0,0,0
135,18,28,4.8,7.763102784727143,0,0,0,0,0,0
136,17,24,4.9,6.290134677634678,0,1,0,0,0,1
137,28,33,4.4,1.5368503798521727,0,0,1,0,0,0
138,44,20,4.6,13.97317756157655,1,0,0,0,0,0
139,20,31,4.3,9.348403522662325,0,0,1,0,0,0
140,19,29,4.6,4.596576884051942,0,0,1,0,0,1
141,35,36,5.0,10.602467987619507,0,0,1,0,0,0
142,50,31,4.2,17.076258901183188,0,1,0,0,0,0
143,34,39,4.1,9.22083460710881,0,1,0,0,0,1
144,17,29,4.6,12.161605446010208,0,1,0,0,1,0
145,23,29,4.6,6.080882967594327,0,0,1,0,0,1
146,27,37,4.9,4.674143698976439,1,0,0,0,0,0
147,26,33,4.7,6.290134677634678,0,0,1,0,0,0
148,35,31,3.9,10.709003371535417,1,0,0,0,0,1
149,41,37,4.6,6.290134677634678,0,0,0,0,0,0
150,23,26,4.4,9.31488473286169,1,0,0,0,0,0
151,30,24,4.6,17.137482577838597,0,0,1,0,0,0
152,19,23,4.8,3.145067434621583,1,0,0,0,0,1
153,27,36,4.9,1.5725337292863206,1,0,0,0,0,1
154,28,39,4.8,6.21800234869445,0,0,1,0,0,0
155,24,20,4.7,12.463883024166657,0,0,0,0,0,0
156,36,20,5.0,20.206581510507974,0,1,0,0,0,0
157,28,29,4.3,9.081116432461174,1,0,0,0,0,0
158,31,36,4.8,17.138077427627863,0,0,0,0,0,0
159,44,36,4.0,13.631343698142908,0,1,0,0,0,0
160,15,22,4.8,12.074063090452917,0,0,0,0,0,1
161,33,38,4.4,10.723264172167632,1,0,0,0,0,0
162,30,39,4.9,7.600994631258686,1,0,0,0,0,0
163,22,24,4.9,7.562982485200133,0,0,1,0,0,1
164,43,30,4.1,11.007734763744619,0,0,1,0,0,0
165,48,35,4.8,13.829314445199353,0,1,0,0,0,0
166,19,33,4.5,13.969116967730173,0,0,0,0,1,0
167,21,39,4.7,10.92326745824626,0,0,1,0,0,0
168,44,31,4.3,12.117036432265502,0,0,0,0,0,0
169,26,37,4.5,1.5525704156536744,0,0,0,0,0,1
170,26,37,4.7,4.663566689152146,1,0,0,0,0,1
171,31,33,5.0,1.5294972211332267,0,1,0,0,0,0
172,19,24,4.6,9.435201537430713,0,1,0,0,0,1
173,18,33,4.5,11.916757259074618,0,0,1,0,0,1
174,38,39,4.7,10.486117701549256,0,1,0,0,0,0
175,32,37,4.6,13.583078662317007,0,0,1,0,0,0
176,17,25,4.9,7.6831914051315,0,1,0,0,0,1
177,11,28,4.8,9.193093962702912,1,0,0,0,0,1
178,31,38,4.7,6.217883647558105,1,0,0,0,0,0
179,43,29,4.6,10.427235657896496,0,0,0,0,0,0
180,25,31,4.6,9.326872529115304,0,1,0,0,0,0
181,22,25,4.8,9.179538450826046,0,0,1,0,0,0
182,43,35,4.9,10.880651848535559,0,0,0,0,0,0
183,42,39,4.7,10.565262855251524,1,0,0,0,0,0
184,42,38,3.9,12.100062421152574,0,1,0,0,0,0
185,34,35,4.7,4.657159718107683,0,0,0,0,0,0
186,17,29,4.7,2.981217855191797,0,0,1,0,0,0
187,25,27,4.6,4.56126563284071,0,0,1,0,0,1
188,54,38,4.3,13.989916877275611,0,1,0,0,0,0
189,21,36,4.9,10.64228895373868,1,0,0,0,0,0
190,34,26,4.0,6.147404652636644,1,0,0,0,0,0
191,36,26,4.1,13.428477357470895,0,1,0,0,0,0
192,17,36,4.9,9.32728515796102,0,0,0,0,0,0
193,16,21,4.7,1.489792976782627,0,1,0,0,0,0
194,27,35,4.7,12.418394742110447,0,1,0,0,1,0
195,26,20,4.5,6.217860689144307,0,1,0,0,0,0
196,46,23,4.6,13.787803344501583,0,0,1,0,0,0
197,29,37,5.0,9.080187058763226,1,0,0,0,0,0
198,23,26,4.8,9.31544163550089,0,0,1,0,0,0
199,11,29,5.0,12.161417162421785,0,0,1,0,0,1
200,28,26,4.9,16.636875038860897,0,0,1,0,0,0
201,25,29,4.8,9.192951167083441,0,1,0,0,0,0
202,11,29,4.7,3.0182264849996012,0,0,1,0,0,0
203,26,21,4.9,4.395420246829376,0,1,0,0,0,1
204,23,22,4.3,3.109059104393369,0,1,0,0,0,0
205,39,31,4.0,11.916582838288104,0,0,1,0,0,0
206,11,20,4.5,3.1162485097900614,0,0,1,0,0,0
207,32,30,3.9,12.116950608888414,0,0,0,0,1,0
208,43,36,4.8,10.868263117988388,0,0,1,0,0,0
209,13,24,4.7,6.218153086065015,1,0,0,0,0,1
210,25,32,4.7,1.554424975889475,1,0,0,0,1,0
211,27,25,5.0,9.313017158714828,0,0,0,0,0,0
212,29,27,4.5,6.147106622705506,0,0,0,0,0,1
213,33,32,4.1,10.867300462045835,1,0,0,0,0,0
214,19,23,4.7,6.209259882041872,0,0,0,0,0,0
215,33,39,4.4,20.18085916835158,0,1,0,0,0,0
216,28,20,4.8,9.435201537430713,0,0,1,0,0,0
217,15,20,4.8,11.919755989352295,0,0,0,0,1,0
218,29,29,4.6,4.494291162003504,0,1,0,0,0,1
219,18,26,4.9,20.85172635753384,0,1,0,0,0,1
220,14,25,5.0,1.5605734793807475,0,1,0,0,0,0
221,30,34,4.7,6.2105896103141776,0,0,1,0,0,0
222,28,31,4.9,6.175283575308341,0,0,1,0,0,0
223,39,24,4.7,20.44292976252901,0,0,1,0,0,0
224,30,30,4.9,13.830084721845328,0,1,0,0,0,0
225,36,36,4.8,19.37374583495492,1,0,0,0,0,0
226,37,36,4.4,20.857115324129595,0,0,1,0,0,0
227,43,26,4.7,20.851557402660557,0,1,0,0,0,0
228,29,30,4.6,16.659963190057415,1,0,0,0,0,1
229,25,20,4.8,4.717601092054723,0,0,0,0,0,1
230,15,33,4.7,7.76260023979039,1,0,0,0,1,0
231,24,29,4.6,11.007734763744619,0,0,1,0,0,1
232,39,34,4.0,13.76685500858734,0,0,1,0,0,0
233,20,36,4.6,12.293677673573285,1,0,0,0,0,0
234,15,33,4.6,2.9846372692856606,1,0,0,0,0,0
235,16,22,4.8,16.78827586251448,0,0,0,0,0,0
236,19,38,4.7,1.5320227740641719,0,0,0,0,0,1
237,20,27,4.9,12.421407858787804,0,0,0,0,0,1
238,25,32,4.8,10.44477615516592,0,1,0,0,0,1
239,43,26,4.8,12.420750050313671,0,0,1,0,0,0
240,15,29,4.5,19.659373527443684,0,0,0,0,0,0
241,29,31,4.5,12.46418980459368,1,0,0,0,0,0
242,14,28,4.6,6.146243658393431,0,0,0,0,0,0
243,11,21,4.8,8.92908688893574,1,0,0,0,0,0
244,19,21,4.0,7.79036212453358,1,0,0,0,0,0
245,29,30,4.9,12.58026782240096,0,0,0,0,0,0
246,11,29,4.7,5.992096714696517,1,0,0,0,0,0
247,14,20,4.8,1.5297232853100242,0,0,1,0,0,0
248,15,28,5.0,13.73594217639692,0,0,1,0,0,0
249,16,25,4.7,10.705559922396555,0,1,0,0,0,0
250,43,29,4.6,16.85256546543028,1,0,0,0,0,0
251,20,38,4.8,3.1048037532854496,1,0,0,0,0,0
252,26,39,4.9,4.610073053799191,0,0,0,0,0,0
253,26,26,4.9,9.122100805601145,0,0,1,0,0,1
254,43,33,4.4,10.906036622245482,0,1,0,0,0,0
255,25,24,4.6,9.088013799330469,0,0,1,0,0,0
256,28,24,4.9,6.232303380306801,1,0,0,0,0,0
257,17,33,4.5,13.611566722125085,1,0,0,0,0,1
258,44,35,4.2,13.611428630407849,0,0,0,0,0,0
259,33,27,4.2,13.763896210757977,1,0,0,0,0,0
260,19,29,4.6,7.7613504048972315,0,0,1,0,0,1
261,15,29,4.5,4.657591594952301,0,0,1,0,0,0
262,27,34,4.7,19.34348721744278,1,0,0,0,0,1
263,25,20,4.7,2.9845125598688367,0,1,0,0,0,1
264,18,29,4.8,6.058876303739158,0,0,0,0,0,0
265,21,22,4.9,9.088084092164259,0,0,1,0,0,1
266,53,35,4.9,10.41706579035871,1,0,0,0,0,0
267,42,32,4.4,17.164833902684478,0,0,0,0,0,0
268,20,28,4.9,16.11387241182587,0,0,1,0,0,0
269,29,30,4.7,20.253686339517458,0,1,0,0,0,1
270,15,22,4.7,17.076258901183188,0,0,1,0,0,1
271,30,36,4.7,7.79036212453358,1,0,0,0,0,0
272,28,23,4.8,19.76218981785925,0,0,1,0,0,0
273,19,22,4.8,3.025059809277375,0,0,0,0,0,0
274,15,29,4.5,19.839561441934904,0,1,0,0,0,0
275,50,34,4.9,17.07559440107296,1,0,0,0,0,0
276,41,38,4.1,1.5527001159059903,1,0,0,0,0,0
277,37,35,5.0,11.007734763744619,0,0,1,0,0,0
278,28,38,4.7,9.435201537430713,0,0,0,0,0,1
279,35,32,4.3,10.280572823486576,0,1,0,0,0,1
280,27,20,4.5,10.867300462045835,1,0,0,0,0,0
281,43,25,4.9,12.417687564200063,1,0,0,0,0,0
282,12,29,4.5,8.93786088183146,0,1,0,0,0,1
283,31,32,4.7,8.928939271550702,0,1,0,0,0,1
284,39,39,4.1,20.44292976252901,0,0,0,0,0,0
285,47,31,4.4,16.660108123693192,1,0,0,0,0,0
286,26,37,4.5,7.601385733164932,1,0,0,0,0,0
287,31,36,4.9,13.183763612802814,0,0,1,0,1,0
288,42,37,3.8,20.856833724898493,0,0,1,0,0,0
289,12,29,4.6,9.192571532077613,0,1,0,0,0,1
290,25,38,4.9,6.232373004507649,0,0,1,0,0,1
291,39,37,4.4,11.90486548713048,0,0,0,0,0,0
292,21,21,4.9,13.682164847733755,1,0,0,0,0,1
293,18,35,4.9,4.469362226704516,0,1,0,0,1,0
294,22,22,4.8,13.40635545530559,0,0,1,0,0,1
295,23,28,4.8,3.073644027723396,1,0,0,0,0,0
296,48,39,4.0,20.206581510507974,0,0,0,0,0,0
297,13,29,4.5,12.419724873245404,0,0,1,0,0,1
298,32,39,4.6,3.104803710518419,0,0,0,0,0,0
299,16,25,4.9,20.20631641648197,0,0,1,0,1,0
300,19,34,5.0,4.6741517745550425,0,0,1,0,1,0
301,18,22,4.8,3.1053699758611546,0,0,0,0,0,0
302,27,27,5.0,10.444390862228435,1,0,0,0,0,0
303,25,28,4.5,10.710903359654202,0,0,0,0,0,0
304,31,32,5.0,4.674393132741051,0,0,0,0,0,1
305,39,29,4.6,16.601276790345963,0,0,0,0,0,1
306,20,27,4.6,10.756697879102619,0,0,1,0,0,0
307,38,35,3.9,12.236561539554922,0,0,1,0,0,0
308,19,22,4.6,4.66365822992179,1,0,0,0,0,0
309,17,35,4.7,4.717601092054723,0,0,0,0,1,0
310,24,30,4.6,1.5148048951935007,1,0,0,0,0,0
311,26,39,4.8,3.1089883297657854,0,0,0,0,0,1
312,28,33,4.8,9.219905581616992,0,1,0,0,0,0
313,16,20,4.7,12.256687342592269,0,0,1,0,0,1
314,17,20,4.7,4.717601092054723,1,0,0,0,0,0
315,24,34,4.2,9.326940869812143,0,0,1,0,0,0
316,24,22,4.7,10.881431823102778,0,1,0,0,0,0
317,34,37,4.3,2.9802493849187557,0,1,0,0,0,1
318,16,20,4.8,1.5302594894332384,0,0,1,0,0,0
319,26,33,4.9,7.6016147383215875,0,0,0,0,0,0
320,25,21,5.0,19.660943947619934,0,0,0,0,0,0
321,49,33,4.6,10.602417764362079,0,1,0,0,0,0
322,24,24,4.6,12.41960204102968,0,0,1,0,1,0
323,32,36,4.7,3.145067434621583,0,1,0,0,0,1
324,26,30,4.6,4.588898780683796,1,0,0,0,0,0
325,24,32,4.9,13.829931792649827,1,0,0,0,0,1
326,16,28,4.6,19.975808791439345,0,0,0,0,1,0
327,27,21,4.7,19.37374583495492,0,0,0,0,0,1
328,25,39,4.9,3.0527068570730225,0,0,0,0,0,0
329,26,32,4.7,3.104803710518419,0,0,0,0,0,0
330,25,20,4.5,9.17860595704086,1,0,0,0,0,1
331,26,29,4.6,4.717601092054723,0,1,0,0,0,0
332,15,36,5.0,1.4901538808207615,0,1,0,0,0,1
333,18,28,4.8,3.105364544907298,1,0,0,0,0,1
334,30,32,4.5,7.661250453808297,1,0,0,0,0,0
335,46,39,4.4,17.076258901183188,0,0,0,0,0,1
336,24,30,4.7,16.72143013885536,0,0,0,0,0,0
337,37,32,4.4,6.12841937845769,0,0,0,0,0,0
338,27,23,4.6,13.610877575672198,0,0,1,0,0,0
339,27,21,4.8,6.1186308844114,1,0,0,0,0,1
340,32,31,4.2,9.07434222926449,0,1,0,0,1,0
341,28,37,4.6,3.0589506421330555,1,0,0,0,1,0
342,29,20,4.5,7.601870282547478,0,0,0,0,0,0
343,27,28,4.5,1.4899271643865588,0,0,1,0,0,0
344,11,22,4.9,1.5545816630911855,0,0,1,0,0,0
345,13,20,4.7,9.219708856174128,1,0,0,0,0,0
346,27,34,4.8,19.618968653878262,1,0,0,0,0,1
347,25,38,4.8,6.209259882041872,0,0,1,0,0,1
348,26,29,4.6,20.18263448829367,0,0,0,0,0,1
349,27,32,4.5,6.036244196933988,1,0,0,0,0,0
350,26,34,4.9,16.853347148215086,0,0,1,0,0,1
351,32,33,3.9,13.612594236925654,0,1,0,0,1,0
352,25,34,4.5,3.025144329113595,0,1,0,0,0,0
353,32,32,4.6,4.717601092054723,0,1,0,0,0,0
354,42,29,4.6,10.867434750937747,0,0,0,0,0,1
355,29,34,4.7,7.7725232004434295,0,0,0,0,0,0
356,32,26,4.6,10.641436955070953,1,0,0,0,0,1
357,35,31,4.0,12.42069253996503,0,0,0,0,0,0
358,27,39,4.8,6.081185877714607,0,0,0,0,0,0
359,15,27,4.8,1.5725337292863206,0,1,0,0,0,0
360,27,32,5.0,7.683355299930933,1,0,0,0,0,1
361,30,32,4.5,7.568033295671673,0,1,0,0,0,0
362,32,39,4.1,10.564540523828974,0,0,1,0,0,0
363,25,36,4.8,1.5323350156090414,0,1,0,0,1,0
364,38,37,4.1,4.65713301884333,1,0,0,0,0,0
365,26,37,4.8,9.054052950169499,0,1,0,0,0,1
366,31,38,3.7,16.853347148215086,0,1,0,0,0,0
367,28,28,4.7,3.0182264849996012,0,0,0,0,0,1
368,31,34,3.8,16.852118690780628,0,1,0,0,0,1
369,29,32,4.9,17.074904296042025,1,0,0,0,0,0
370,17,22,4.7,8.93752787352923,1,0,0,0,0,0
371,45,31,4.0,13.620357163029357,0,0,0,0,0,0
372,34,27,4.0,12.434585525064866,0,1,0,0,0,0
373,24,29,4.9,17.137487720369517,0,0,0,0,0,1
374,44,38,4.8,9.348325936764454,0,1,0,0,0,0
375,36,35,4.8,7.601874226722028,0,0,1,0,0,0
376,28,31,4.9,4.6576549370601725,0,1,0,0,0,0
377,37,30,4.3,13.970007989574006,0,0,0,0,0,1
378,10,24,4.9,9.435201537430713,0,0,1,0,0,0
379,23,33,4.8,13.830053479838845,0,0,0,0,0,0
380,22,29,4.6,10.278596687703995,0,1,0,0,0,0
381,26,38,4.6,6.117761953594232,0,0,1,0,0,1
382,34,26,4.9,9.056095962462345,0,0,0,0,0,0
383,26,39,4.8,6.290134677634678,1,0,0,0,0,1
384,21,24,4.5,17.29786575291325,0,0,1,0,0,0
385,28,34,4.2,9.193093962702912,0,1,0,0,0,0
386,14,26,4.7,8.942954308598226,0,0,1,0,0,0
387,17,35,4.7,6.050551152462876,0,1,0,0,0,0
388,37,36,4.2,4.657579589646204,0,0,0,0,0,0
389,42,24,2.6,16.660108123693192,0,0,0,0,0,0
390,17,29,4.6,11.007734763744619,0,0,1,0,0,0
391,34,33,4.3,16.826241648658115,0,1,0,0,0,0
392,25,26,4.6,16.787888950840177,1,0,0,0,0,0
393,30,32,5.0,17.074256778794595,1,0,0,0,0,1
394,48,37,4.9,13.403654333869838,0,1,0,0,0,0
395,18,26,4.9,20.285402098849676,0,0,0,0,0,1
396,28,31,4.8,20.253518127453113,0,0,0,0,0,1
397,26,37,4.6,13.970759660746802,1,0,0,0,0,0
398,16,26,4.7,16.8274727731461,0,0,0,0,0,1
399,25,37,4.8,4.537571350180709,0,1,0,0,0,0
400,22,22,4.6,20.44292976252901,0,0,0,0,0,0
401,15,21,4.4,4.560926278066122,0,0,0,0,0,0
402,28,22,4.0,1.5524082366562466,0,0,1,0,0,0
403,20,38,4.5,1.5524171512659315,0,1,0,0,0,0
404,32,28,4.0,6.2086819840397665,1,0,0,0,0,0
405,17,29,4.7,20.44292976252901,0,1,0,0,0,1
406,38,31,4.9,6.058919182290143,0,0,0,0,0,0
407,14,24,4.8,3.0405702571576674,0,0,1,0,0,1
408,26,33,4.8,6.290134677634678,1,0,0,0,0,0
409,30,26,4.9,13.788957415778517,0,0,1,0,0,0
410,28,29,4.6,12.074377562049362,0,1,0,0,0,1
411,29,20,4.7,7.790401204068506,0,0,1,0,0,1
412,12,29,4.8,19.762382255532906,1,0,0,0,0,1
413,49,32,4.0,10.867366120252033,1,0,0,0,0,0
414,42,20,4.9,16.659917302375394,0,1,0,0,0,0
415,24,26,5.0,10.867138302160432,0,1,0,0,1,0
416,46,38,4.8,16.72115728076054,1,0,0,0,0,0
417,27,34,4.6,6.176576611953425,0,1,0,0,1,0
418,13,27,4.5,2.979500008381943,0,0,1,0,0,0
419,25,29,5.0,10.593374354489852,0,0,0,0,0,0
420,24,24,4.9,19.76106632827125,0,0,0,0,0,0
421,12,21,4.9,1.5125847685793798,1,0,0,0,0,0
422,24,33,4.4,1.4651858110914628,0,0,0,0,0,0
423,29,35,4.7,9.055898607912091,0,1,0,0,0,0
424,18,35,4.7,12.46418980459368,0,0,1,0,0,1
425,20,29,4.6,19.08680741329132,0,0,1,0,0,1
426,13,29,4.6,4.663432062512584,1,0,0,0,0,0
427,23,29,4.8,10.707345040408097,0,0,0,0,0,0
428,19,21,4.9,12.256076445468295,1,0,0,0,0,0
429,29,29,4.6,17.078934089494954,0,1,0,0,0,0
430,24,22,4.7,13.973206773137713,0,0,1,0,0,0
431,27,29,4.6,6.217689154531591,0,0,0,0,0,1
432,40,24,4.4,11.90494293616778,0,1,0,0,0,1
433,22,23,4.9,1.5544659606035225,0,0,1,0,0,1
434,12,27,4.6,1.5522933461661421,0,0,0,0,0,1
435,43,33,4.1,12.464528059716372,0,0,0,0,0,0
436,26,35,4.6,16.90249592854745,0,1,0,0,0,1
437,27,21,4.7,4.674318760489487,1,0,0,0,0,1
438,35,39,4.4,13.96960642768458,0,1,0,0,0,0
439,27,34,4.8,7.761160094160204,0,0,0,0,0,1
440,27,29,4.9,6.081389116676368,0,0,0,0,0,0
441,17,20,4.7,3.0597099613184353,1,0,0,0,0,1
442,17,20,4.8,11.007734763744619,0,0,0,0,0,0
443,15,30,4.7,9.054052950169499,0,0,0,0,0,0
444,39,37,4.7,19.087110814122536,1,0,0,0,0,1
445,25,39,4.6,4.537860442229041,0,0,0,0,0,0
446,18,26,5.0,16.903843893839564,0,0,0,0,0,0
447,48,32,4.9,12.58026782240096,0,1,0,0,0,0
448,28,21,4.7,13.787860239172547,0,0,0,0,0,1
449,29,35,4.8,3.105133735234752,0,0,1,0,0,1
450,32,39,4.6,4.527261449200724,1,0,0,0,0,0
451,41,39,5.0,20.183799025948787,0,1,0,0,0,0
452,39,27,4.9,10.92420466208724,0,0,0,0,0,0
453,16,33,4.8,4.65694538594946,0,0,0,0,0,1
454,48,33,4.8,19.976712110350487,0,1,0,0,0,0
455,40,37,4.7,10.868263117988388,1,0,0,0,0,0
456,11,20,4.6,3.116253656338934,0,0,0,0,0,0
